race_id,split,year,event,session,expected_driver_count,fastf1_participant_count,car_rows,position_rows,driver_hours_car,driver_hours_position,drivers_with_telemetry_coverage_pass,telemetry_coverage_status,source_retrieval_status,error,fastf1_missing_expected_drivers
2019:Italian Grand Prix:Race,train,2019,Italian Grand Prix,Race,20,20,354821,290978,24.00721638888889,24.008005,20,PASS,SUCCESS,,
2019:Brazilian Grand Prix:Race,train,2019,Brazilian Grand Prix,Race,20,20,456324,367368,30.310663055555555,30.310875000000003,20,PASS,SUCCESS,,
2019:Abu Dhabi Grand Prix:Race,train,2019,Abu Dhabi Grand Prix,Race,20,20,471410,380053,31.356997777777778,31.355752499999998,20,PASS,SUCCESS,,
2020:Austrian Grand Prix:Race,train,2020,Austrian Grand Prix,Race,20,20,338344,381627,23.227831388888887,23.22800722222222,0,INCOMPLETE_OR_UNVERIFIED,SUCCESS,,
2020:British Grand Prix:Race,train,2020,British Grand Prix,Race,20,19,381195,419448,25.554826944444443,25.554850833333333,19,INCOMPLETE_OR_UNVERIFIED,SUCCESS,,HUL
2020:70th Anniversary Grand Prix:Race,train,2020,70th Anniversary Grand Prix,Race,20,20,394392,436407,26.5886625,26.588263333333334,20,PASS,SUCCESS,,
2020:Spanish Grand Prix:Race,train,2020,Spanish Grand Prix,Race,20,20,447097,495493,30.18788111111111,30.188385555555556,20,PASS,SUCCESS,,
2020:Belgian Grand Prix:Race,train,2020,Belgian Grand Prix,Race,20,19,367626,405884,24.730508888888888,24.730674166666667,19,INCOMPLETE_OR_UNVERIFIED,SUCCESS,,SAI
2020:Italian Grand Prix:Race,train,2020,Italian Grand Prix,Race,20,20,467992,516828,31.487882499999998,31.487887777777775,20,PASS,SUCCESS,,
2020:Russian Grand Prix:Race,train,2020,Russian Grand Prix,Race,20,20,422011,467519,28.484021666666667,28.484005833333335,20,PASS,SUCCESS,,
2020:Eifel Grand Prix:Race,train,2020,Eifel Grand Prix,Race,20,20,402357,446755,27.242724722222224,27.2435675,20,PASS,SUCCESS,,
2020:Portuguese Grand Prix:Race,train,2020,Portuguese Grand Prix,Race,20,20,442426,490437,29.879582777777777,29.88010583333333,20,PASS,SUCCESS,,
2020:Emilia Romagna Grand Prix:Race,train,2020,Emilia Romagna Grand Prix,Race,20,20,390911,434810,26.491118888888888,26.4910075,20,PASS,SUCCESS,,
2020:Bahrain Grand Prix:Race,train,2020,Bahrain Grand Prix,Race,20,20,821775,909003,55.38627833333333,55.38740972222222,20,PASS,SUCCESS,,
2020:Sakhir Grand Prix:Race,train,2020,Sakhir Grand Prix,Race,20,20,397915,442110,26.935705833333333,26.935939166666667,20,PASS,SUCCESS,,
