year,event,session,driver,lap,row_count,sample_index_min,sample_index_max,time_min_sec,time_max_sec,time_span_sec,distance_min,distance_max,distance_span,timestamp_repeats,timestamp_negative_steps,sample_index_repeats,sample_index_negative_steps,positive_dt_count,positive_dt_median_sec,positive_dt_p95_sec,positive_dt_max_sec,complete_physical_lap_supported
2018,Abu Dhabi Grand Prix,Race,OCO,8,998,0.0,997.0,0.0,132.194,132.194,0.0019300629595209381,5514.104129568222,5514.102199505262,0,0,0,0,997,0.12300000000000111,0.24000000000000057,0.3009999999999984,False
2018,Abu Dhabi Grand Prix,Race,PER,10,795,0.0,794.0,0.0,106.885,106.885,0.04216488078746716,5482.876072310976,5482.833907430188,0,0,0,0,794,0.14000000000000057,0.24000000000000082,0.29999999999999716,False
2018,Abu Dhabi Grand Prix,Race,RAI,2,1224,0.0,1223.0,0.0,162.339,162.339,0.12524324261119157,5515.826088425496,5515.700845182885,0,0,0,0,1223,0.13299999999999557,0.240000000000002,0.30000000000001137,False
2018,Abu Dhabi Grand Prix,Race,RIC,10,777,0.0,776.0,0.0,104.593,104.593,0.25428642874425034,5502.271108107571,5502.016821678827,0,0,0,0,776,0.13900000000001,0.240000000000002,0.29999999999999716,False
2018,Abu Dhabi Grand Prix,Race,SAI,10,796,0.0,795.0,0.0,107.018,107.018,0.04888618922331389,5606.76953465536,5606.7206484661365,0,0,0,0,795,0.14000000000000012,0.240000000000002,0.29999999999999716,False
2018,Abu Dhabi Grand Prix,Race,SIR,10,802,0.0,801.0,0.0,108.12,108.12,0.04510337839385847,5498.88958185268,5498.844478474286,0,0,0,0,801,0.14000000000000057,0.240000000000002,0.29999999999999716,False
2018,Abu Dhabi Grand Prix,Race,STR,10,801,0.0,800.0,0.0,107.667,107.667,0.11629030897763648,5491.999908715365,5491.883618406387,0,0,0,0,800,0.14000000000000057,0.240000000000002,0.29999999999999716,False
2018,Abu Dhabi Grand Prix,Race,VAN,10,800,0.0,799.0,0.0,107.693,107.693,0.24211093160840852,5494.953343086947,5494.711232155339,0,0,0,0,799,0.14000000000000057,0.240000000000002,0.29999999999999716,False
2018,Abu Dhabi Grand Prix,Race,VER,10,773,0.0,772.0,0.0,104.045,104.045,0.10442506203608404,5502.06079807049,5501.956373008454,0,0,0,0,772,0.13900000000000645,0.240000000000002,0.30000000000001137,False
2018,Abu Dhabi Grand Prix,Race,VET,10,779,0.0,778.0,0.0,105.055,105.055,0.3665761745614584,5499.516674626218,5499.150098451657,0,0,0,0,778,0.1390000000000029,0.240000000000002,0.29999999999999716,False
2018,Austrian Grand Prix,Race,ALO,12,548,0.0,547.0,0.0,72.614,72.614,0.08887034270583127,4303.330924233833,4303.242053891127,0,0,0,0,547,0.1319999999999979,0.240000000000002,0.2989999999999995,False
2018,Austrian Grand Prix,Race,BOT,3,524,0.0,523.0,0.0,69.74,69.74,0.0410251355732516,4308.058176296998,4308.017151161424,0,0,0,0,523,0.13600000000000012,0.240000000000002,0.27600000000000335,False
2018,Austrian Grand Prix,Race,ERI,12,545,0.0,544.0,0.0,72.355,72.355,0.014095047775938951,4293.435095077153,4293.421000029377,0,0,0,0,544,0.1319999999999979,0.240000000000002,0.2989999999999995,False
2018,Austrian Grand Prix,Race,GAS,12,538,0.0,537.0,0.0,71.358,71.358,0.008088668196240933,4309.443045193116,4309.4349565249195,0,0,0,0,537,0.1319999999999979,0.240000000000002,0.2989999999999995,False
2018,Austrian Grand Prix,Race,GRO,12,530,0.0,529.0,0.0,70.223,70.223,0.24177726261126442,4311.717689518712,4311.475912256101,0,0,0,0,529,0.13100000000000023,0.240000000000002,0.2989999999999995,False
2018,Austrian Grand Prix,Race,HAM,11,523,0.0,522.0,0.0,69.319,69.319,0.1612583718360901,4309.466035986179,4309.304777614343,0,0,0,0,522,0.1280000000000001,0.240000000000002,0.2680000000000007,False
2018,Austrian Grand Prix,Race,HAR,10,542,0.0,541.0,0.0,71.925,71.925,0.21981922698550704,4300.670338707725,4300.45051948074,0,0,0,0,541,0.13299999999999912,0.240000000000002,0.3000000000000007,False
